Label,SMS_Message
spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins."
ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation."
ham,Aah bless! How's your arm?
ham,Oh k. . I will come tomorrow
ham,What's happening with you. Have you gotten a job and have you begun registration for permanent residency
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
spam,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
ham,I dont want to hear anything
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX
ham,Your account has been refilled successfully by INR &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.
ham,So that means you still think of teju
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
ham,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free
spam,You have 1 new message. Please call 08718738034.
ham,I told that am coming on wednesday.
ham,Eatin my lunch...
ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,I tot u reach liao. He said t-shirt.
ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
ham,Which is weird because I know I had it at one point
spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP"""
ham,Dai what this da.. Can i send my resume to this id.
spam,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
ham,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks."
ham,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
ham,Is toshiba portege m100 gd?
ham,Ok lor wat time ü finish?
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p
spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?
ham,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though!"
